icd10cm_code,hcc,source_version
C632,23,cmshcc_v28_py2026
C637,23,cmshcc_v28_py2026
C638,23,cmshcc_v28_py2026
C639,23,cmshcc_v28_py2026
C641,22,cmshcc_v28_py2026
C642,22,cmshcc_v28_py2026
C649,22,cmshcc_v28_py2026
C651,22,cmshcc_v28_py2026
C652,22,cmshcc_v28_py2026
C659,22,cmshcc_v28_py2026
C661,22,cmshcc_v28_py2026
C662,22,cmshcc_v28_py2026
C669,22,cmshcc_v28_py2026
C670,22,cmshcc_v28_py2026
C671,22,cmshcc_v28_py2026
C672,22,cmshcc_v28_py2026
C673,22,cmshcc_v28_py2026
C674,22,cmshcc_v28_py2026
C675,22,cmshcc_v28_py2026
C676,22,cmshcc_v28_py2026
C677,22,cmshcc_v28_py2026
C678,22,cmshcc_v28_py2026
C679,22,cmshcc_v28_py2026
C680,22,cmshcc_v28_py2026
C681,22,cmshcc_v28_py2026
C688,22,cmshcc_v28_py2026
C689,22,cmshcc_v28_py2026
C6900,23,cmshcc_v28_py2026
C6901,23,cmshcc_v28_py2026
C6902,23,cmshcc_v28_py2026
C6910,23,cmshcc_v28_py2026
C6911,23,cmshcc_v28_py2026
C6912,23,cmshcc_v28_py2026
C6920,23,cmshcc_v28_py2026
C6921,23,cmshcc_v28_py2026
C6922,23,cmshcc_v28_py2026
C6930,23,cmshcc_v28_py2026
C6931,23,cmshcc_v28_py2026
C6932,23,cmshcc_v28_py2026
C6940,23,cmshcc_v28_py2026
C6941,23,cmshcc_v28_py2026
C6942,23,cmshcc_v28_py2026
C6950,23,cmshcc_v28_py2026
C6951,23,cmshcc_v28_py2026
C6952,23,cmshcc_v28_py2026
C6960,23,cmshcc_v28_py2026
C6961,23,cmshcc_v28_py2026
C6962,23,cmshcc_v28_py2026
C6980,23,cmshcc_v28_py2026
C6981,23,cmshcc_v28_py2026
C6982,23,cmshcc_v28_py2026
C6990,23,cmshcc_v28_py2026
C6991,23,cmshcc_v28_py2026
C6992,23,cmshcc_v28_py2026
C700,20,cmshcc_v28_py2026
C701,20,cmshcc_v28_py2026
C709,20,cmshcc_v28_py2026
C710,20,cmshcc_v28_py2026
C711,20,cmshcc_v28_py2026
C712,20,cmshcc_v28_py2026
C713,20,cmshcc_v28_py2026
C714,20,cmshcc_v28_py2026
C715,20,cmshcc_v28_py2026
C716,20,cmshcc_v28_py2026
C717,20,cmshcc_v28_py2026
C718,20,cmshcc_v28_py2026
C719,20,cmshcc_v28_py2026
C720,20,cmshcc_v28_py2026
C721,20,cmshcc_v28_py2026
C7220,20,cmshcc_v28_py2026
C7221,20,cmshcc_v28_py2026
C7222,20,cmshcc_v28_py2026
C7230,20,cmshcc_v28_py2026
C7231,20,cmshcc_v28_py2026
C7232,20,cmshcc_v28_py2026
C7240,20,cmshcc_v28_py2026
C7241,20,cmshcc_v28_py2026
C7242,20,cmshcc_v28_py2026
C7250,20,cmshcc_v28_py2026
C7259,20,cmshcc_v28_py2026
C729,20,cmshcc_v28_py2026
C73,23,cmshcc_v28_py2026
C7400,22,cmshcc_v28_py2026
C7401,22,cmshcc_v28_py2026
C7402,22,cmshcc_v28_py2026
C7410,22,cmshcc_v28_py2026
C7411,22,cmshcc_v28_py2026
C7412,22,cmshcc_v28_py2026
C7490,22,cmshcc_v28_py2026
C7491,22,cmshcc_v28_py2026
C7492,22,cmshcc_v28_py2026
C750,23,cmshcc_v28_py2026
C751,20,cmshcc_v28_py2026
C752,20,cmshcc_v28_py2026
C753,20,cmshcc_v28_py2026
C754,23,cmshcc_v28_py2026
C755,23,cmshcc_v28_py2026
C758,23,cmshcc_v28_py2026
C759,23,cmshcc_v28_py2026
C760,23,cmshcc_v28_py2026
C761,23,cmshcc_v28_py2026
C762,23,cmshcc_v28_py2026
C763,23,cmshcc_v28_py2026
C7640,23,cmshcc_v28_py2026
C7641,23,cmshcc_v28_py2026
C7642,23,cmshcc_v28_py2026
C7650,23,cmshcc_v28_py2026
C7651,23,cmshcc_v28_py2026
C7652,23,cmshcc_v28_py2026
C768,23,cmshcc_v28_py2026
C770,18,cmshcc_v28_py2026
C771,17,cmshcc_v28_py2026
C772,18,cmshcc_v28_py2026
C773,20,cmshcc_v28_py2026
C774,18,cmshcc_v28_py2026
C775,18,cmshcc_v28_py2026
C778,17,cmshcc_v28_py2026
C779,18,cmshcc_v28_py2026
C7800,17,cmshcc_v28_py2026
C7801,17,cmshcc_v28_py2026
C7802,17,cmshcc_v28_py2026
C781,17,cmshcc_v28_py2026
C782,17,cmshcc_v28_py2026
C7830,17,cmshcc_v28_py2026
C7839,17,cmshcc_v28_py2026
C784,17,cmshcc_v28_py2026
C785,17,cmshcc_v28_py2026
C786,17,cmshcc_v28_py2026
C787,17,cmshcc_v28_py2026
C7880,17,cmshcc_v28_py2026
C7889,17,cmshcc_v28_py2026
C7900,17,cmshcc_v28_py2026
C7901,17,cmshcc_v28_py2026
C7902,17,cmshcc_v28_py2026
C7910,18,cmshcc_v28_py2026
C7911,18,cmshcc_v28_py2026
C7919,18,cmshcc_v28_py2026
